chunk_id,subject,relation,object
1,we,capture,chains
1,it,capture,chains
1,that,remove,preﬁx
1,core,form,substitution
1,it,optimize,transformations
1,translations,have,properties
1,inﬁnite,understand,calculus
1,dependencies,preserve,process
1,it,have,subterms
1,that,rank,expressions
1,which,unfold,steps
1,Regularity,use,binding
1,this,suggest,which
2,Regularity,use,binding
2,it,unfold,process
2,notion,prove,ones
2,that,capture,sense
2,that,generate,subterms
2,it,show,inﬁnite
2,λ,unfold,steps
2,we,coincide,Grabmayer
2,it,capture,chain
2,it,contain,Section
2,it,contain,details
2,that,play,Section
2,we,capture,chains
2,we,establish,regularity
3,it,contain,Section
3,it,contain,details
3,that,play,Section
3,we,capture,chains
3,that,change,sense
3,that,name,trees
3,expressions,close,steps
3,we,draw,literature
3,we,allow,terms
3,we,formalize,symbol
3,Σ,denote,preﬁx
3,Grabmayer,remove,bindings
3,strategies,give,regularity
4,Σ,denote,preﬁx
4,Grabmayer,remove,bindings
4,ϱ,call,Reg
4,that,branch,right
4,steps,take,preﬁx
4,symbols,λ,notation
4,that,bind,occurrences
4,we,refer,Calculus
4,preﬁxes,see,Fig
4,binding,remove,preﬁx
4,we,gather,strategies
4,▸,set,del
4,S,state,form
5,S,state,form
5,regularity,imply,▸
5,systems,inﬁnite,derivations
5,we,prove,derivability
5,λx,bind,Grabmayer
5,we,study,]
5,assumptions,assign,Reg
5,instances,guarantee,threads
6,systems,study,]
6,assumptions,assign,Reg
6,instances,guarantee,systems
6,derivation,note,CRS
6,we,link,▸
6,that,contain,repetition
6,This,apply,Reg
6,formulas,have,preﬁx
6,we,capture,term
6,characterization,think,interest
6,which,capture,chains
6,the,assume,the
7,which,capture,chains
7,inﬁnite,deﬁne,position
7,chain,capture,links
7,we,encounter,terms
7,scopes,overlap,words
7,we,denote,p
7,p,bind,Proof
7,⃗,imply,preﬁx
7,Statement,show,two
7,that,project,annotations
7,unfoldings,complete,system
8,that,project,annotations
8,it,hold,inﬁnite
8,proposition,generate,information
8,statements,hold,item
8,proofs,base,preterms
8,we,follow,proposition
8,proposition,annotate,Grabmayer
8,lemma,show,Proof
8,chain,have,length
8,positions,establish,step
8,we,capture,chain
8,we,obtain,sequence
9,we,obtain,sequence
9,we,perform,step
9,that,annotate,Grabmayer
9,that,inﬁnity,limit
9,that,pin,inﬁnite
9,that,pass,terms
9,all,shorten,preﬁx
9,we,obtain,accentuation
74,situation,leave,ronment
74,=,leave,d
74,¬,exclude,distinctions
74,one,•,abstraction
74,cases,remain,rules
74,case,leave,rules
74,cases,show,abstraction
74,=,leave,environment
74,reduction,imply,substitution
74,we,show,definitions
10,that,pass,terms
10,all,shorten,preﬁx
10,we,obtain,theorem
10,vertex,ﬁnite,vertices
10,which,proceed,transformations
10,We,focus,direction
10,we,follow,proposition
10,that,close,.
10,We,observe,Ô⇒
10,correspondence,reﬂect,derivations
10,lemma,µ,▸
11,We,observe,Ô⇒
11,correspondence,reﬂect,derivations
11,lemma,µ,▸
11,any,mention,its
11,lemma,fold,derivations
11,right,preﬁxe,derivation
11,we,preﬁxe,ility
11,a,exist,Proof
11,that,give,assumptions
11,Grabmayer,describe,derivation
12,that,give,assumptions
12,which,establish,theorem
12,that,condense,results
12,structure,involve,proofs
12,the,accord,bisimulation
12,that,reﬂect,graphs
12,languages,compile,languages
14,diﬀerences,express,which
14,we,use,induction
14,we,consider,function
14,truncations,provide,bounds
14,inequalities,calculate,Γ
14,case,prove,Example
14,that,adjust,Example
14,paper,follow,Alzer
14,indication,give,Section
14,we,derive,bounds
14,functions,provide,formula
14,we,prove,article
14,we,prove,the
15,we,derive,bounds
15,functions,provide,formula
15,we,prove,article
15,Theorem,give,Euler
15,We,show,N¨orlund
15,term,note,monotonicity
15,which,bind,F
15,bounds,attribute,Sonin
15,integration,change,summations
15,functions,appear,indices
15,connection,follow,case
15,We,note,that
15,we,vanish,parts
15,we,obtain,counterpart
16,We,note,that
16,we,vanish,parts
